separation_lambda_over_D,coupling_efficiency
1.27,0.221437029972516
1.275,0.220332877749982
1.28,0.219215681283387
1.285,0.218085751207789
1.29,0.216943398702237
1.295,0.215788935385954
1.3,0.214622673215421
1.305,0.21344492438241
1.31,0.212256001212456
1.315,0.211056216064744
1.32,0.209845881232306
1.325,0.208625308843903
1.33,0.207394810765857
1.335,0.206154698506078
1.34,0.204905283117763
1.345,0.203646875105623
1.35,0.202379784331772
1.355,0.201104319924038
1.36,0.19982079018449
1.365,0.19852950249923
1.37,0.197230763250175
1.375,0.195924877726805
1.38,0.194612150040385
1.385,0.193292883038743
1.39,0.191967378222273
1.395,0.190635935661863
1.4,0.189298853917623
1.405,0.187956429959053
1.41,0.186608959086938
1.415,0.185256734856199
1.42,0.183900049000349
1.425,0.182539191357578
1.43,0.181174449797932
1.435,0.179806110152241
1.44,0.178434456142472
1.445,0.177059769313389
1.45,0.175682328966111
1.455,0.17430241209276
1.46,0.172920293313058
1.465,0.171536244812242
1.47,0.170150536280442
1.475,0.168763434853972
1.48,0.167375205057915
1.485,0.165986108750541
1.49,0.164596405068892
1.495,0.163206350376571
1.5,0.161816198212617
1.505,0.160426199242367
1.51,0.159036601209722
1.515,0.157647648891037
1.52,0.15625958405083
1.525,0.154872645398999
1.53,0.15348706854953
1.535,0.152103085981126
1.54,0.150720926999232
1.545,0.149340817699851
1.55,0.147962980934823
1.555,0.146587636278971
1.56,0.14521499999863
1.565,0.143845285021806
1.57,0.142478700910301
1.575,0.141115453833025
1.58,0.139755746540993
1.585,0.138399778344129
1.59,0.137047745089595
1.595,0.135699839141549
1.6,0.134356249362502
1.605,0.133017161096529
1.61,0.131682756153654
1.615,0.130353212796019
1.62,0.129028705725436
1.625,0.127709406072666
1.63,0.126395481387957
1.635,0.125087095633349
1.64,0.123784409176148
1.645,0.122487578784249
1.65,0.121196757622459
1.655,0.119912095250816
1.66,0.11863373762361
1.665,0.117361827090778
1.67,0.116096502399539
1.675,0.114837898698534
1.68,0.113586147542444
1.685,0.112341376898406
1.69,0.111103711153707
1.695,0.109873271124618
1.7,0.108650174066675
1.705,0.107434533686047
1.71,0.106226460152429
1.715,0.105026060112791
1.72,0.103833436706602
1.725,0.102648689582182
1.73,0.10147191491405
1.735,0.100303205421703
1.74,0.0991426503892003
1.745,0.097990335686058
1.75,0.0968463437890387
