Radius,Profile
4.12941984,9.324781709031432e-09
4.159672,9.352914608965399e-09
4.18992416,8.961080110961924e-09
4.22017632,9.114774470905204e-09
4.25042848,9.303157349445477e-09
4.28068064,9.463336187840622e-09
4.3109328,9.522169835549457e-09
4.34118496,1.0138086453539029e-08
4.37143712,1.5016737328470043e-08
4.40168928,1.0070913225212677e-08
4.43194144,8.442889819886821e-09
4.4621936,9.109746550933822e-09
4.49244576,8.812195068218138e-09
4.52269792,8.90317546878174e-09
4.5529500800000005,9.071366396819497e-09
4.58320224,9.107204612754122e-09
4.6134544,9.450455184687432e-09
4.64370656,9.796826120952362e-09
4.67395872,9.593117346682386e-09
4.70421088,1.0132355586680005e-08
4.73446304,1.4683634431735739e-08
4.7647152,1.0346225968174035e-08
4.79496736,8.52339666407227e-09
4.82521952,8.650704392524985e-09
4.85547168,8.947201807830713e-09
4.88572384,8.739253159612573e-09
4.915976,8.57250798220434e-09
4.94622816,8.585253086597987e-09
4.97648032,8.527297124287968e-09
5.00673248,8.625241863600293e-09
5.03698464,8.45427555919007e-09
5.0672368,8.690851368749527e-09
5.09748896,1.1983535403779763e-08
5.12774112,9.473579625245284e-09
5.15799328,7.127667412437557e-09
5.18824544,7.0973296453188375e-09
5.2184976,6.71242783647589e-09
5.24874976,6.553861577270462e-09
5.27900192,6.551929364614183e-09
5.30925408,6.265248115849416e-09
5.33950624,6.106041660315721e-09
5.3697584,6.053817143185913e-09
5.40001056,5.976636167109175e-09
5.43026272,5.875111574495222e-09
5.46051488,7.918967297377198e-09
5.49076704,7.344305936426106e-09
5.5210192000000005,4.376007436320357e-09
5.55127136,4.225414197538282e-09
5.58152352,4.144768961286334e-09
5.61177568,3.869276970415997e-09
5.64202784,3.874015607912688e-09
5.67228,3.852236766667903e-09
5.70253216,3.539405443676431e-09
5.73278432,3.3829779812879222e-09
5.76303648,3.51128742985274e-09
5.79328864,3.5169114530669885e-09
5.8235408,5.040969153041798e-09
5.85379296,5.758623671493601e-09
5.88404512,2.6198732504621745e-09
5.91429728,2.5169033852887976e-09
5.94454944,2.2935572973662607e-09
5.9748016,2.2582472251029514e-09
6.00505376,2.37408898619298e-09
6.03530592,2.4157546718218057e-09
6.06555808,2.3766631592549125e-09
6.09581024,2.308971622718478e-09
6.1260624,2.531446020892725e-09
6.15631456,2.613629625993607e-09
6.18656672,3.4953135893605936e-09
6.21681888,5.793862039472593e-09
6.24707104,1.902242644929755e-09
6.2773232,2.095233603420122e-09
6.30757536,2.113375924823977e-09
6.33782752,2.057693695691385e-09
