Radius,Profile
1.35000264,3.2402236196409417e-07
1.37269176,3.166912396466346e-07
1.39538088,2.6474408775643163e-07
1.41807,2.5352504332317365e-07
1.44075912,2.421014334662805e-07
1.46344824,2.277757344860566e-07
1.48613736,2.1450797871505468e-07
1.50882648,1.9956643416005306e-07
1.5315156,1.9028420960015233e-07
1.55420472,1.8328852183548564e-07
1.57689384,1.739588442260949e-07
1.59958296,1.6782186651421093e-07
1.6222720800000001,1.6358363789408293e-07
1.6449612,1.612799912658094e-07
1.66765032,1.4438728722641497e-07
1.69033944,1.3613962755837968e-07
1.71302856,1.313836396099353e-07
1.73571768,1.2550119324589503e-07
1.7584068,1.2487437487241153e-07
1.78109592,1.1857343263136782e-07
1.80378504,1.1624551688456929e-07
1.82647416,1.1026009842984166e-07
1.84916328,1.1086840493448269e-07
1.8718524,1.0760680746651489e-07
1.89454152,1.063848348368737e-07
1.91723064,1.1283460074608953e-07
1.93991976,9.423560558369357e-08
1.9626088800000001,9.371981824453182e-08
1.985298,9.01438909182551e-08
2.00798712,8.701712515234363e-08
2.03067624,8.616636897623308e-08
2.05336536,8.562358664428516e-08
2.07605448,8.246033291868946e-08
2.0987436,7.827701027100444e-08
2.12143272,7.717751998743755e-08
2.14412184,7.588939862245818e-08
2.16681096,7.536401498529493e-08
2.18950008,7.851095059734926e-08
2.2121892,7.084019431312354e-08
2.23487832,6.455507018336553e-08
2.25756744,6.331312466072186e-08
2.28025656,6.157558362427403e-08
2.30294568,5.945977176242112e-08
2.3256348,5.689167257729828e-08
2.34832392,5.5433171376751985e-08
2.37101304,5.289614482482502e-08
2.39370216,5.2500153217542856e-08
2.41639128,5.062556751001365e-08
2.4390804,4.9171468294869316e-08
2.46176952,5.4416058268210946e-08
2.48445864,4.0957149748796037e-08
2.50714776,4.038099501644964e-08
2.52983688,3.749474855550348e-08
2.552526,3.7329026712013716e-08
2.57521512,3.5801604992641085e-08
2.59790424,3.440275611388535e-08
2.62059336,3.31610535911714e-08
2.64328248,3.090696933670888e-08
2.6659716,3.066808695337363e-08
2.68866072,2.995842052483249e-08
2.71134984,2.9567205849137723e-08
2.73403896,3.2347176288837085e-08
2.75672808,2.558750112536359e-08
2.7794172,2.3093206069054877e-08
2.80210632,2.318235824445517e-08
2.82479544,2.131914832771403e-08
2.84748456,2.035467872783112e-08
2.87017368,1.9832802401891858e-08
2.8928628,1.9281837510934815e-08
2.91555192,1.8666990258856704e-08
2.93824104,1.7790978598073877e-08
2.96093016,1.749304671268258e-08
2.98361928,1.777700987749644e-08
3.0063084,2.338870911785806e-08
3.02899752,1.522914551946879e-08
3.0516866400000002,1.4298103947043178e-08
3.07437576,1.4270630300127145e-08
3.09706488,1.4210959913585199e-08
3.119754,1.4097051797658929e-08
3.14244312,1.3558768683194965e-08
3.16513224,1.3591756669124349e-08
3.18782136,1.3576752722504198e-08
3.21051048,1.3567667818916525e-08
3.2331996,1.3527586415597567e-08
3.25588872,1.4066140530787052e-08
3.27857784,1.798976520492656e-08
3.30126696,1.3785871498607518e-08
3.32395608,1.2161882795154837e-08
3.3466452,1.2582063662588906e-08
3.36933432,1.2269050369601253e-08
3.39202344,1.224436115735042e-08
3.41471256,1.2211229922618592e-08
3.4374016800000002,1.2206619097748996e-08
3.4600908,1.2407854581929005e-08
3.48277992,1.2638919086286732e-08
3.50546904,1.238189253182926e-08
3.52815816,1.2796776724502931e-08
3.55084728,1.6496795138783952e-08
3.5735364,1.2987298393971132e-08
3.59622552,1.121001456765677e-08
3.61891464,1.119191133521109e-08
3.64160376,1.1307301784791886e-08
3.66429288,1.1103298960159825e-08
3.686982,1.0830260494459598e-08
3.70967112,1.0754597900676419e-08
3.73236024,1.0623336128191663e-08
3.75504936,1.0691354387418454e-08
3.77773848,1.0477171784253373e-08
3.8004276,1.0610415313626888e-08
3.82311672,1.3360045338426875e-08
3.84580584,1.1242715007430031e-08
3.86849496,9.088969454648258e-09
3.89118408,8.952934889962178e-09
3.9138732,8.52805561096584e-09
3.93656232,8.326384774439391e-09
3.95925144,8.246178992770055e-09
3.98194056,7.926111002660074e-09
4.00462968,7.715376206216912e-09
4.0273188,7.656595726848725e-09
4.05000792,7.538808622967961e-09
4.07269704,7.384841856150361e-09
4.09538616,9.081647457902557e-09
4.11807528,8.542754036160459e-09
4.1407644,5.929277999190793e-09
4.16345352,5.73726330546012e-09
4.18614264,5.546683733750691e-09
4.20883176,5.278815166604641e-09
4.23152088,5.218655531667292e-09
4.25421,5.184381559282476e-09
4.27689912,4.847181952500257e-09
4.29958824,4.66236660465943e-09
4.32227736,4.7599303305414275e-09
4.34496648,4.718062769437175e-09
4.3676556,6.0064201746724634e-09
4.39034472,6.561324303285283e-09
4.41303384,3.843151874358899e-09
4.43572296,3.6816554159328457e-09
4.45841208,3.4242120334128627e-09
4.4811012,3.377541626078414e-09
4.50379032,3.4388120967481358e-09
4.52647944,3.4547905122471443e-09
4.54916856,3.379300376714929e-09
4.57185768,3.307287813046523e-09
4.5945468,3.4844755000959167e-09
4.61723592,3.543284087693621e-09
4.63992504,4.353899525078625e-09
4.66261416,6.190180222612317e-09
4.68530328,2.8797302803254645e-09
4.7079924,3.014386123397914e-09
4.73068152,2.98577192417843e-09
4.75337064,2.920335323240316e-09
4.77605976,3.1437872230648774e-09
4.79874888,3.1364043115935304e-09
4.821438,3.1547217880360118e-09
4.8441271200000005,3.150075202339371e-09
4.86681624,3.3355591909696396e-09
4.88950536,3.4544028342067924e-09
4.91219448,4.248679323603486e-09
4.9348836,5.983566475244817e-09
4.95757272,3.1931323230646422e-09
4.98026184,3.169450120008044e-09
5.00295096,3.0822858228024975e-09
5.02564008,3.1278069558513864e-09
5.0483292,3.252392766094455e-09
5.07101832,3.40393358989745e-09
5.09370744,3.3677868013441844e-09
5.11639656,3.2121535528012416e-09
5.13908568,3.316257509844004e-09
5.1617748,3.4385181995528502e-09
5.18446392,3.924556455326377e-09
5.20715304,6.006259285545223e-09
5.2298421600000005,2.8878947482450936e-09
5.25253128,2.997846013338287e-09
5.2752204,2.898440540782784e-09
5.29790952,2.8099303448287002e-09
5.32059864,2.890477513823889e-09
5.34328776,2.831998889885008e-09
5.36597688,2.7815444003724034e-09
5.388666,2.7540125894308396e-09
5.41135512,2.7394929477189735e-09
5.43404424,2.7786993960441884e-09
5.45673336,3.105416016620353e-09
5.47942248,5.241890430470375e-09
5.5021116,2.4248252654626182e-09
5.52480072,2.3334179356647376e-09
5.54748984,2.159936615076586e-09
5.57017896,2.063365389548022e-09
5.59286808,2.047918964175199e-09
5.6155572000000005,2.069155894385006e-09
5.63824632,2.021643483510816e-09
5.66093544,1.894870072125582e-09
5.68362456,1.8967841909559246e-09
5.70631368,1.8957909638322995e-09
5.7290028,2.1593781804697714e-09
5.75169192,4.3181928231153095e-09
5.77438104,1.46327413338197e-09
5.79707016,1.4623952471044085e-09
5.81975928,1.3655213930616966e-09
5.8424484,1.3109001429796072e-09
5.86513752,1.318112494999475e-09
5.88782664,1.286107032486013e-09
5.91051576,1.3636589402676784e-09
5.93320488,1.2563205980714464e-09
5.955894,1.2646785883079788e-09
5.97858312,1.2782087738526326e-09
6.00127224,1.576765409284138e-09
6.02396136,3.5660087876055706e-09
6.04665048,1.2884981219310442e-09
6.0693396,1.0261702482982095e-09
6.09202872,9.965235679378232e-10
6.11471784,1.0100955573891427e-09
6.13740696,1.0196267707839718e-09
6.16009608,1.074914048881084e-09
6.1827852,1.1808176877003365e-09
6.20547432,1.0861073900064702e-09
6.22816344,1.1961937598100016e-09
6.25085256,1.201261785139695e-09
6.27354168,1.4202535502773793e-09
6.2962308,3.4466628233034913e-09
6.31891992,1.224188678520773e-09
6.34160904,1.1282353588581812e-09
6.36429816,1.053851765436368e-09
6.38698728,1.1239919835953992e-09
6.4096764,1.1305212462743917e-09
6.43236552,1.1541919408478193e-09
6.45505464,1.2945618428751233e-09
6.47774376,1.2382404699042769e-09
6.50043288,1.2803205700877728e-09
6.523122,1.3361024516035472e-09
6.54581112,1.4845696695133142e-09
6.56850024,3.197872663664918e-09
6.59118936,1.5960624682840132e-09
6.61387848,1.211616112156942e-09
6.6365676,1.1771732083329352e-09
6.65925672,1.1657459262510259e-09
