# wavelength (nm),transmission (I/F) 
8.059499999999946152e-01,4.997806055864836838e-01
8.059999999999944986e-01,4.997936696324413730e-01
8.060499999999944931e-01,4.998067339737394810e-01
8.060999999999944876e-01,4.998197986103833923e-01
8.061499999999943711e-01,4.998328635423789912e-01
8.061999999999943656e-01,4.998459287697317177e-01
8.062499999999943601e-01,4.998589942924472895e-01
8.062999999999942435e-01,4.998720601105314243e-01
8.063499999999942380e-01,4.998851262239896731e-01
8.063999999999942325e-01,4.998981926328275871e-01
8.064499999999941160e-01,4.999112593370508284e-01
8.064999999999941105e-01,4.999243263366652257e-01
8.065499999999939940e-01,4.999373936316761080e-01
8.065999999999939885e-01,4.999504612220894151e-01
8.066499999999939829e-01,4.999635291079104760e-01
8.066999999999938664e-01,4.999765972891453414e-01
8.067499999999938609e-01,4.999896657657991184e-01
8.067999999999938554e-01,5.000027345378783572e-01
8.068499999999937389e-01,5.000158036053869992e-01
8.068999999999937334e-01,5.000288729683326494e-01
8.069499999999937279e-01,5.000419426267197487e-01
8.069999999999936113e-01,5.000550125805540702e-01
8.070499999999936058e-01,5.000680828298413871e-01
8.070999999999934893e-01,5.000811533745873616e-01
8.071499999999934838e-01,5.000942242147976557e-01
8.071999999999934783e-01,5.001072953504775986e-01
8.072499999999933618e-01,5.001203667816334075e-01
8.072999999999933562e-01,5.001334385082700784e-01
8.073499999999933507e-01,5.001465105303937175e-01
8.073999999999932342e-01,5.001595828480097650e-01
8.074499999999932287e-01,5.001726554611239939e-01
8.074999999999932232e-01,5.001857283697417333e-01
8.075499999999931067e-01,5.001988015738689786e-01
8.075999999999931012e-01,5.002118750735111696e-01
8.076499999999930957e-01,5.002249488686740797e-01
8.076999999999929791e-01,5.002380229593630379e-01
8.077499999999929736e-01,5.002510973455840393e-01
8.077999999999928571e-01,5.002641720273425241e-01
8.078499999999928516e-01,5.002772470046441544e-01
8.078999999999928461e-01,5.002903222774948144e-01
8.079499999999927295e-01,5.003033978458996112e-01
8.079999999999927240e-01,5.003164737098645398e-01
8.080499999999927185e-01,5.003295498693952625e-01
8.080999999999926020e-01,5.003426263244973304e-01
8.081499999999925965e-01,5.003557030751764056e-01
8.081999999999925910e-01,5.003687801214381503e-01
8.082499999999924745e-01,5.003818574632881155e-01
8.082999999999924690e-01,5.003949351007318525e-01
8.083499999999923524e-01,5.004080130337752452e-01
8.083999999999923469e-01,5.004210912624237340e-01
8.084499999999923414e-01,5.004341697866835359e-01
8.084999999999922249e-01,5.004472486065588699e-01
8.085499999999922194e-01,5.004603277220572854e-01
8.085999999999922139e-01,5.004734071331828904e-01
8.086499999999920973e-01,5.004864868399419020e-01
8.086999999999920918e-01,5.004995668423398714e-01
8.087499999999920863e-01,5.005126471403826827e-01
8.087999999999919698e-01,5.005257277340754429e-01
8.088499999999919643e-01,5.005388086234242584e-01
8.088999999999919588e-01,5.005518898084346802e-01
8.089499999999918423e-01,5.005649712891122594e-01
