mag,Flux[e-],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm]
seeing,,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad
zenith_angle,,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60
ao_mode,,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H
band,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
5,,2.934157699,2.938517387,2.954603288,2.993318509,3.097284083,2.966684926,2.971866924,2.990987897,3.036632698,3.157061352,3.030320836,3.037124851,3.062532126,3.121971481,3.27783085,2.93603317,2.940592209,2.957246541,2.998240305,3.1136575,2.969515103,2.974838305,2.995226383,3.044892536,3.189803272,3.036413073,3.043967804,3.072964883,3.144266892,3.40561988,3.006610101,3.011046503,3.027328524,3.066174735,3.168610869,3.079392908,3.084678241,3.104097457,2.83,3.267207735,3.225818777,3.232694804,3.257976796,3.316514053,3.461606958,2.865996934,2.868016295,2.876213643,2.897882263,2.963627862,2.869653748,2.871475234,2.879337071,2.900552876,2.965737472,2.877009435,2.878440836,2.885641705,2.905966041,2.970047835,2.955081988,2.957380681,2.966489288,2.990054309,3.059718709,3.007320261,3.009579444,3.018855948,3.043006994,3.114250451,3.116304179,3.118515339,3.128194513,3.153633062,3.228251567,2.94686729,2.949140376,2.958165399,2.98155634,3.050860328,2.994692927,2.996912389,3.006060378,3.02994445,3.100635246,3.094605373,3.096747364,3.106206162,3.131188887,3.204863505
6,,2.935348858,2.939741317,2.955948721,2.994987368,3.100195837,2.968041765,2.973269595,2.99257431,3.038698422,3.161093365,3.032153625,3.039042455,3.06475267,3.12518699,3.285765272,2.93603317,2.940592209,2.957246541,2.998240305,3.1136575,2.969515103,2.974838305,2.995226383,3.044892536,3.189803272,3.036413073,3.043967804,3.072964883,3.144266892,3.40561988,3.062576337,3.067145842,3.083858954,3.123596265,3.227862214,3.164036018,3.169502692,3.18950065,2.83,3.356246545,3.367215573,3.374339672,3.400388512,3.460489865,3.608819718,2.865996934,2.868016295,2.876213643,2.897882263,2.963627862,2.869653748,2.871475234,2.879337071,2.900552876,2.965737472,2.877009435,2.878440836,2.885641705,2.905966041,2.970047835,3.092189641,3.094908237,3.105390259,3.131823938,3.207468758,3.214650683,3.217543435,3.228876636,3.257317259,3.337521598,3.462404926,3.465667948,3.478719229,3.511174869,3.600508836,3.082290707,3.084977995,3.095357631,3.121577438,3.196776263,3.199552234,3.202397395,3.213576142,3.241694591,3.321225577,3.437031443,3.440215802,3.45301472,3.484944656,3.573173185
7,,2.943147038,2.947754528,2.964759572,3.005933161,3.119307592,2.976961074,2.982490464,3.002974826,3.052256115,3.187641114,3.044189387,3.051638614,3.079415058,3.146385755,3.338543941,2.940316757,2.945091746,2.962688172,3.006219978,3.133911822,2.975019631,2.980771414,3.002546977,3.056619108,3.226557232,3.045898723,3.054280773,3.086495366,3.170775772,3.5380543,3.251035572,3.25604674,3.274194864,3.316910921,3.427348602,3.444094876,3.450155316,3.472060374,2.85,3.650981073,3.821693083,3.829626964,3.858219993,3.923579961,4.083019714,2.865996934,2.868016295,2.876213643,2.897882263,2.963627862,2.869653748,2.871475234,2.879337071,2.900552876,2.965737472,2.877009435,2.878440836,2.885641705,2.905966041,2.970047835,3.438833449,3.442570289,3.456398739,3.489868747,3.580411823,3.720998061,3.725346284,3.741439352,3.779895026,3.881429707,4.213863577,4.219785188,4.248167838,4.313805219,4.458256937,3.448537579,3.452261939,3.46685763,3.502163006,3.596659375,3.71959131,3.723943824,3.74161862,3.783793407,3.893188556,4.232423704,4.237982701,4.261618233,4.317125409,4.455352639
8,,2.963156596,2.968321111,2.987394765,3.03415801,3.168824946,3.00004039,3.006357648,3.029807602,3.087375076,3.257219245,3.07544218,3.084379543,3.117917618,3.202216419,3.479763261,2.955928796,2.961512573,2.98234578,3.035264032,3.208412205,2.995202844,3.002325278,3.02923905,3.099765267,3.365595441,3.081044661,3.092585849,3.137904599,3.272651248,3.944447873,3.678041328,3.684021997,3.705342278,3.754703103,3.87917243,4.056730137,4.064063494,4.090107991,2.89,4.296268493,4.76610157,4.77576098,4.809914394,4.887000613,5.071980674,2.865996934,2.868016295,2.876213643,2.897882263,2.963627862,2.869653748,2.871475234,2.879337071,2.900552876,2.965737472,2.877009435,2.878440836,2.885641705,2.905966041,2.970047835,4.1402513,4.145629862,4.167941104,4.219935303,4.350131805,4.631280181,4.63788295,4.666846694,4.733782351,4.896487529,5.455984047,5.465307909,5.515190324,5.629019397,5.876683766,4.306554957,4.312137312,4.336588176,4.393755454,4.536068637,4.827401491,4.83440695,4.868083914,4.946255906,5.133546081,5.73133527,5.741069605,5.792681042,5.912457076,6.187947433
9,,3.015970006,3.022635046,3.047288172,3.109170262,3.301028471,3.061395178,3.069865804,3.10144013,3.181845551,3.440420905,3.160008845,3.173143313,3.223022041,3.35419359,3.822054827,2.998158069,3.005997876,3.035587593,3.114814942,3.411483397,3.050723852,3.061519407,3.103132201,3.221457372,3.702246607,3.181937025,3.203100211,3.289608424,3.548862717,4.379004709,4.569725718,4.577643754,4.605367051,4.668312751,4.822216726,5.281310383,5.291127997,5.325371692,3,5.587391095,6.554018484,6.567022963,6.612204391,6.712958551,6.950839718,2.868078455,2.870104412,2.878323259,2.900036555,2.965874152,2.872901321,2.874733324,2.882629095,2.903915158,2.969244059,2.882765637,2.884216464,2.89147884,2.911929637,2.976269883,5.297332126,5.304923634,5.345136322,5.539644982,5.728353469,6.029170209,6.03912552,6.095105862,6.221404833,6.619840761,7.308300746,7.322761305,7.409566046,7.604786636,8.169092404,5.721759588,5.729982133,5.773366375,5.874066896,6.105861913,6.634440941,6.645473325,6.707136984,6.848487489,7.167258701,8.221880442,8.238306476,8.333659088,8.555489762,9.042166409
10,,3.16127121,3.171818711,3.210667304,3.309243587,3.62466514,3.229673047,3.243540769,3.295092116,3.428669203,3.8615674,3.387454617,3.410394074,3.497579332,3.726036121,4.337162569,3.120876809,3.135504727,3.19151801,3.33885952,3.857459851,3.215943956,3.237226859,3.317581672,3.537871383,4.118585352,3.46546086,3.506462631,3.668144319,4.132970682,4.787666498,6.268437416,6.279883586,6.319392655,6.407676756,6.617903702,7.522833025,7.537104137,7.586239035,3.25,7.95270874,9.690005275,9.708976281,9.774136543,9.918270947,10.25476795,2.874323908,2.876369657,2.884653013,2.906500394,2.972614239,2.882637568,2.88450108,2.892498527,2.913995163,2.979756835,2.899993047,2.901501875,2.908947968,2.92977665,2.994889907,6.84387612,6.856460883,6.939825678,7.230191021,7.610270029,8.090768779,8.10821694,8.223661104,8.482581428,9.144311916,10.32153212,10.34828637,10.52437736,10.91816003,11.88047198,7.623943767,7.638489495,7.746281069,7.99738729,8.521444292,9.286251095,9.307849691,9.460851744,9.806315279,10.52798388,12.29199021,12.32680246,12.56183786,13.08985341,14.17855203
11,,3.523679722,3.541668557,3.60711171,3.769035475,4.105194956,3.638605966,3.66215525,3.748458943,3.885827641,4.419168289,3.903670829,3.890779408,4.001519669,4.289445378,4.676008812,3.448180373,3.47508625,3.575710181,3.834171355,4.230165446,3.621610558,3.660233675,3.804283537,3.992980056,4.476576425,4.075312249,4.0266456,4.178826651,4.615865038,5.507894853,9.274302757,9.291781628,9.351612854,9.484034375,9.794244751,11.38159119,11.40342445,11.47806412,3.72,12.02680424,14.95077926,14.97985368,15.07913328,15.29781662,15.80532258,2.896367294,2.898482745,2.906993359,2.929313327,2.996401945,2.916908991,2.918882911,2.927236839,2.949472258,3.016754701,2.960288584,2.961998456,2.970082099,2.992223654,3.060029413,9.838455724,9.860579754,10.02327722,10.39208361,11.15840258,12.25638373,12.28893993,12.51735981,13.03203657,14.09010659,16.68522063,16.73794687,17.09130029,17.8802191,19.48654515,12.20266807,12.22768051,12.43155562,12.90372895,13.8871446,15.57636259,15.61634377,15.90990153,16.57769749,17.94865085,21.79712898,21.86543688,22.32795415,23.36240405,25.44866656
12,,4.071300783,4.091273369,4.168667734,4.36376528,4.350530905,4.236285412,4.263229666,4.367997672,4.319866043,4.5983256,4.617545016,4.460629581,4.520383921,4.689715673,5.285213368,3.916857525,3.937180427,4.019975548,4.237166527,4.504346727,4.113982591,4.144273373,4.268458598,4.411424605,4.990924419,4.633593227,4.575376291,4.710447461,5.111066203,6.843937532,14.39856712,14.42612568,14.5200833,14.72706958,15.208038,17.86184006,17.89628148,18.01363891,4.13,18.87063175,23.67243769,23.71833658,23.87465801,24.21833687,25.01377248,2.990431043,2.992839937,3.002308293,3.026622702,3.097839319,3.061628315,3.064058337,3.07388766,3.099187352,3.172809663,3.209588664,3.212097453,3.222724977,3.250125329,3.32880719,16.51068281,16.55070061,16.85742646,17.55500177,18.97064038,21.45415143,21.51534647,21.95164763,22.92853448,24.88005765,30.62500235,30.72335834,31.39149143,32.86403685,35.73845156,21.52372452,21.56896821,21.95194991,22.83809811,24.65673431,28.33783278,28.41244483,28.96546195,30.21390491,36.15897457,40.93802849,41.06331093,46.1184258,48.28378818,52.51906119
13,,4.411483007,4.41037196,4.433322569,4.510125191,4.780792519,4.609488256,4.61122149,4.651311888,4.77591696,5.212239754,5.046181019,5.058424361,5.152216942,5.427215062,6.419784549,4.348266235,4.355826984,4.408047936,4.557800509,5.082998921,4.599061932,4.614678611,4.706527361,4.971113247,5.961310666,5.26503409,5.311625877,5.547567505,6.248661391,9.213461858,23.18546208,23.2301374,23.38218977,23.71648169,24.49051371,28.89668962,28.95253039,29.1425418,4.49,30.52610059,38.43987214,38.5143123,38.76756388,39.32390789,40.61009301,3.436764525,3.436981661,3.445583287,3.483136809,3.620195094,3.703260833,3.701531464,3.702594552,3.722083,3.817572053,4.176693291,4.172666851,4.169994415,4.177589518,4.236192161,29.97465599,30.04615519,30.60693822,31.87010963,34.36554807,39.82349091,39.93047763,40.71089535,42.43779798,45.7869099,57.83803731,58.00038357,59.14578209,74.0908106,80.43101387,43.61541673,43.72158818,44.53584065,46.37511952,50.05291886,58.19268501,58.35345114,59.48920483,62.00879336,89.34561694,84.76358633,85.01498713,114.0923467,119.5738136,130.2104655
14,,5.030039107,5.023987632,5.054082402,5.167732294,5.59175488,5.387169033,5.385772607,5.445403219,5.642121955,6.353202479,6.167785899,6.184685652,6.337715889,6.795064057,8.453689535,4.937564855,4.947555978,5.032646993,5.282519078,6.167276312,5.40441275,5.428765198,5.584747921,6.038145039,7.722337803,6.622419565,6.701274329,7.108654908,8.309256217,13.24131859,39.08423447,39.15975079,39.41659036,39.98079637,41.28528632,48.80418205,48.89857563,49.21959305,5.11,51.55435333,65.01889473,65.14474432,65.57270924,66.51256681,68.68439107,4.73669537,4.734029291,4.737890274,4.779906478,4.702963283,5.33612449,5.329557633,5.321825065,5.333485502,5.197485487,6.344434074,6.335126573,6.324141387,6.182269799,6.136314642,67.34911953,67.53542321,68.8555994,71.75826903,77.3506673,90.19324049,90.4494036,92.22636462,96.09622772,103.4598381,131.5442546,131.9071005,134.4330866,183.4530753,199.2537158,107.8577323,108.1895307,110.3834976,115.200565,124.6295896,144.5831969,145.0398754,148.0099977,154.4894533,223.2913455,211.3178367,211.9885593,285.1946333,298.9481924,325.6026143
15,,6.19086169,6.175855526,6.217540321,6.393654095,7.076348058,6.826850777,6.819870927,6.912325964,7.230388605,8.398478548,8.190939553,8.215604839,8.46674452,9.223838891,11.96047777,6.067142123,6.080759897,6.221601677,6.640741446,8.120670012,6.913369492,6.952038378,7.215177098,7.980837965,10.78470354,9.055607882,9.186359583,9.869937635,11.86680935,19.90379867,70.82775989,70.96475172,71.43055234,72.45346842,74.8172261,88.50584016,88.67707894,89.25931161,6.15,93.49202618,117.9776879,118.2060014,118.9822786,120.6868637,124.6251444,6.374799255,6.342490387,6.283214809,6.194773152,6.08963598,7.503584715,7.470392831,7.41986047,7.345251384,7.240682223,9.456748922,9.423726308,9.39566632,9.36093958,9.301185818,167.525421,168.0301268,171.4227808,178.8052229,192.916658,224.7772535,225.4493443,229.9660942,239.74139,258.2536478,328.2778987,329.2090782,335.5795757,458.3435718,497.8671665,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
16,,8.276594861,8.246902158,8.307925597,8.587512114,9.697220832,9.370605626,9.355353993,9.502405236,10.02001515,11.93592599,11.6751778,11.71318539,12.12371115,13.36503577,17.84539681,8.124139488,8.143229161,8.374694284,9.068559024,11.50743516,9.593534912,9.655172958,10.09075911,11.35734175,15.95206451,13.2136752,13.42703751,14.54913412,17.81122879,30.83804722,141.5408075,141.8146649,142.7457535,144.7902455,149.5137876,176.9110763,177.2533974,178.4172485,7.92,186.8769646,235.8658641,236.3222897,237.8740737,241.2814164,249.1533022,10.09410783,10.02002347,9.880312594,9.672779585,9.394215137,12.48987112,12.40922314,12.27300872,12.07158132,11.78225344,16.60233625,16.51074224,16.38395357,16.2040876,15.92974701,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
