# wavelength (nm),transmission (I/F) 
8.055499999999949923e-01,8.360489853092891721e-01
8.055999999999948757e-01,8.360551041736150601e-01
8.056499999999948702e-01,8.360612230768319497e-01
8.056999999999948647e-01,8.360673420189391747e-01
8.057499999999947482e-01,8.360734609999364020e-01
8.057999999999947427e-01,8.360795800198249639e-01
8.058499999999946262e-01,8.360856990786038612e-01
8.058999999999946207e-01,8.360918181762748702e-01
8.059499999999946152e-01,8.360979373128363257e-01
8.059999999999944986e-01,8.361040564882903370e-01
8.060499999999944931e-01,8.361101757026360159e-01
8.060999999999944876e-01,8.361162949558731405e-01
8.061499999999943711e-01,8.361224142480032651e-01
8.061999999999943656e-01,8.361285335790252793e-01
8.062499999999943601e-01,8.361346529489405155e-01
8.062999999999942435e-01,8.361407723577485296e-01
8.063499999999942380e-01,8.361468918054492105e-01
8.063999999999942325e-01,8.361530112920438906e-01
8.064499999999941160e-01,8.361591308175311266e-01
8.064999999999941105e-01,8.361652503819131388e-01
8.065499999999939940e-01,8.361713699851889281e-01
8.065999999999939885e-01,8.361774896273581614e-01
8.066499999999939829e-01,8.361836093084225041e-01
8.066999999999938664e-01,8.361897290283806239e-01
8.067499999999938609e-01,8.361958487872342971e-01
8.067999999999938554e-01,8.362019685849829687e-01
8.068499999999937389e-01,8.362080884216261945e-01
8.068999999999937334e-01,8.362142082971654178e-01
8.069499999999937279e-01,8.362203282115997505e-01
8.069999999999936113e-01,8.362264481649305248e-01
8.070499999999936058e-01,8.362325681571565195e-01
8.070999999999934893e-01,8.362386881882795109e-01
8.071499999999934838e-01,8.362448082582990549e-01
8.071999999999934783e-01,8.362509283672145965e-01
8.072499999999933618e-01,8.362570485150275790e-01
8.072999999999933562e-01,8.362631687017371140e-01
8.073499999999933507e-01,8.362692889273445340e-01
8.073999999999932342e-01,8.362754091918495059e-01
8.074499999999932287e-01,8.362815294952514744e-01
8.074999999999932232e-01,8.362876498375521050e-01
8.075499999999931067e-01,8.362937702187501765e-01
8.075999999999931012e-01,8.362998906388473541e-01
8.076499999999930957e-01,8.363060110978429718e-01
8.076999999999929791e-01,8.363121315957366964e-01
8.077499999999929736e-01,8.363182521325301932e-01
8.077999999999928571e-01,8.363243727082219081e-01
8.078499999999928516e-01,8.363304933228140614e-01
8.078999999999928461e-01,8.363366139763056539e-01
8.079499999999927295e-01,8.363427346686963526e-01
8.079999999999927240e-01,8.363488553999879338e-01
8.080499999999927185e-01,8.363549761701788432e-01
8.080999999999926020e-01,8.363610969792709682e-01
8.081499999999925965e-01,8.363672178272638646e-01
8.081999999999925910e-01,8.363733387141568665e-01
8.082499999999924745e-01,8.363794596399516390e-01
8.082999999999924690e-01,8.363855806046468500e-01
8.083499999999923524e-01,8.363917016082444977e-01
8.083999999999923469e-01,8.363978226507429170e-01
8.084499999999923414e-01,8.364039437321441062e-01
8.084999999999922249e-01,8.364100648524475101e-01
8.085499999999922194e-01,8.364161860116523517e-01
8.085999999999922139e-01,8.364223072097605183e-01
8.086499999999920973e-01,8.364284284467707886e-01
8.086999999999920918e-01,8.364345497226847170e-01
8.087499999999920863e-01,8.364406710375018594e-01
8.087999999999919698e-01,8.364467923912214387e-01
8.088499999999919643e-01,8.364529137838455641e-01
8.088999999999919588e-01,8.364590352153727926e-01
8.089499999999918423e-01,8.364651566858046783e-01
8.089999999999918368e-01,8.364712781951407772e-01
8.090499999999917202e-01,8.364773997433805341e-01
8.090999999999917147e-01,8.364835213305257255e-01
8.091499999999917092e-01,8.364896429565750191e-01
8.091999999999915927e-01,8.364957646215301912e-01
8.092499999999915872e-01,8.365018863253905756e-01
8.092999999999915817e-01,8.365080080681557284e-01
8.093499999999914651e-01,8.365141298498273148e-01
8.093999999999914596e-01,8.365202516704040026e-01
8.094499999999914541e-01,8.365263735298874570e-01
8.094999999999913376e-01,8.365324954282774561e-01
8.095499999999913321e-01,8.365386173655731117e-01
8.095999999999912156e-01,8.365447393417763111e-01
8.096499999999912101e-01,8.365508613568856111e-01
8.096999999999912045e-01,8.365569834109028990e-01
8.097499999999910880e-01,8.365631055038268427e-01
8.097999999999910825e-01,8.365692276356591073e-01
8.098499999999910770e-01,8.365753498063991378e-01
8.098999999999909605e-01,8.365814720160463791e-01
8.099499999999909550e-01,8.365875942646027186e-01
8.099999999999909495e-01,8.365937165520666019e-01
8.100499999999908329e-01,8.365998388784398054e-01
8.100999999999908274e-01,8.366059612437219961e-01
8.101499999999908219e-01,8.366120836479123968e-01
8.101999999999907054e-01,8.366182060910128948e-01
8.102499999999906999e-01,8.366243285730220469e-01
8.102999999999905834e-01,8.366304510939416295e-01
8.103499999999905778e-01,8.366365736537710873e-01
8.103999999999905723e-01,8.366426962525098654e-01
8.104499999999904558e-01,8.366488188901597400e-01
8.104999999999904503e-01,8.366549415667194900e-01
8.105499999999904448e-01,8.366610642821904475e-01
8.105999999999903283e-01,8.366671870365726127e-01
8.106499999999903228e-01,8.366733098298650972e-01
8.106999999999903173e-01,8.366794326620696776e-01
8.107499999999902007e-01,8.366855555331850214e-01
8.107999999999901952e-01,8.366916784432129051e-01
8.108499999999900787e-01,8.366978013921519963e-01
8.108999999999900732e-01,8.367039243800041826e-01
8.109499999999900677e-01,8.367100474067686866e-01
8.109999999999899511e-01,8.367161704724450644e-01
8.110499999999899456e-01,8.367222935770350922e-01
8.110999999999899401e-01,8.367284167205373269e-01
8.111499999999898236e-01,8.367345399029535447e-01
8.111999999999898181e-01,8.367406631242831905e-01
8.112499999999898126e-01,8.367467863845258202e-01
8.112999999999896961e-01,8.367529096836830993e-01
8.113499999999896906e-01,8.367590330217536954e-01
8.113999999999896851e-01,8.367651563987391627e-01
8.114499999999895685e-01,8.367712798146392794e-01
8.114999999999895630e-01,8.367774032694534903e-01
8.115499999999894465e-01,8.367835267631832386e-01
8.115999999999894410e-01,8.367896502958273031e-01
8.116499999999894355e-01,8.367957738673875712e-01
8.116999999999893189e-01,8.368018974778633767e-01
8.117499999999893134e-01,8.368080211272541646e-01
8.117999999999893079e-01,8.368141448155617113e-01
8.118499999999891914e-01,8.368202685427845733e-01
8.118999999999891859e-01,8.368263923089247491e-01
8.119499999999891804e-01,8.368325161139814616e-01
8.119999999999890639e-01,8.368386399579542667e-01
8.120499999999890584e-01,8.368447638408447187e-01
8.120999999999889418e-01,8.368508877626518183e-01
8.121499999999889363e-01,8.368570117233770089e-01
8.121999999999889308e-01,8.368631357230191803e-01
8.122499999999888143e-01,8.368692597615798867e-01
8.122999999999888088e-01,8.368753838390585731e-01
8.123499999999888033e-01,8.368815079554550174e-01
8.123999999999886867e-01,8.368876321107705518e-01
8.124499999999886812e-01,8.368937563050041772e-01
8.124999999999886757e-01,8.368998805381573369e-01
8.125499999999885592e-01,8.369060048102295868e-01
8.125999999999885537e-01,8.369121291212204827e-01
8.126499999999885482e-01,8.369182534711316901e-01
8.126999999999884317e-01,8.369243778599618766e-01
8.127499999999884261e-01,8.369305022877128186e-01
8.127999999999883096e-01,8.369366267543838500e-01
8.128499999999883041e-01,8.369427512599745267e-01
8.128999999999882986e-01,8.369488758044866250e-01
8.129499999999881821e-01,8.369550003879188127e-01
8.129999999999881766e-01,8.369611250102726441e-01
8.130499999999881711e-01,8.369672496715475640e-01
8.130999999999880545e-01,8.369733743717434615e-01
8.131499999999880490e-01,8.369794991108615578e-01
8.131999999999880435e-01,8.369856238889008537e-01
8.132499999999879270e-01,8.369917487058629035e-01
8.132999999999879215e-01,8.369978735617472632e-01
8.133499999999878050e-01,8.370039984565532665e-01
8.133999999999877994e-01,8.370101233902826898e-01
8.134499999999877939e-01,8.370162483629344230e-01
8.134999999999876774e-01,8.370223733745099093e-01
8.135499999999876719e-01,8.370284984250079274e-01
8.135999999999876664e-01,8.370346235144302538e-01
8.136499999999875499e-01,8.370407486427764443e-01
8.136999999999875444e-01,8.370468738100456108e-01
8.137499999999875389e-01,8.370529990162398626e-01
8.137999999999874223e-01,8.370591242613576455e-01
8.138499999999874168e-01,8.370652495454008468e-01
8.138999999999874113e-01,8.370713748683688005e-01
8.139499999999872948e-01,8.370775002302608403e-01
8.139999999999872893e-01,8.370836256310790757e-01
8.140499999999871727e-01,8.370897510708219524e-01
8.140999999999871672e-01,8.370958765494910248e-01
8.141499999999871617e-01,8.371020020670859596e-01
8.141999999999870452e-01,8.371081276236064239e-01
8.142499999999870397e-01,8.371142532190537500e-01
8.142999999999870342e-01,8.371203788534267165e-01
8.143499999999869177e-01,8.371265045267272109e-01
8.143999999999869122e-01,8.371326302389545670e-01
8.144499999999869067e-01,8.371387559901082298e-01
8.144999999999867901e-01,8.371448817801899756e-01
8.145499999999867846e-01,8.371510076091984720e-01
8.145999999999866681e-01,8.371571334771354955e-01
8.146499999999866626e-01,8.371632593840004910e-01
8.146999999999866571e-01,8.371693853297929033e-01
8.147499999999865405e-01,8.371755113145142868e-01
8.147999999999865350e-01,8.371816373381635312e-01
8.148499999999865295e-01,8.371877634007421909e-01
8.148999999999864130e-01,8.371938895022492666e-01
8.149499999999864075e-01,8.372000156426863127e-01
8.149999999999864020e-01,8.372061418220525519e-01
8.150499999999862855e-01,8.372122680403477624e-01
8.150999999999862800e-01,8.372183942975737203e-01
8.151499999999862744e-01,8.372245205937287604e-01
8.151999999999861579e-01,8.372306469288147701e-01
8.152499999999861524e-01,8.372367733028313053e-01
8.152999999999860359e-01,8.372428997157778108e-01
8.153499999999860304e-01,8.372490261676559520e-01
8.153999999999860249e-01,8.372551526584642856e-01
8.154499999999859083e-01,8.372612791882048100e-01
8.154999999999859028e-01,8.372674057568766370e-01
8.155499999999858973e-01,8.372735323644795447e-01
8.155999999999857808e-01,8.372796590110151982e-01
