# wavelength (nm),inst_bkg (ph/s) 
9.362000000000036835e+02,1.444444502205129448e-86
9.363000000000037062e+02,1.478546048410173291e-86
9.364000000000037289e+02,1.513445127118126876e-86
9.365000000000037517e+02,1.549160212585765093e-86
9.366000000000037744e+02,1.585710202879977851e-86
9.367000000000037971e+02,1.623114429504715864e-86
9.368000000000038199e+02,1.661392667244940445e-86
9.369000000000038426e+02,1.700565144231499733e-86
9.370000000000038654e+02,1.740652552232708243e-86
9.371000000000038881e+02,1.781676052964079822e-86
9.372000000000039108e+02,1.823657301286159712e-86
9.373000000000039336e+02,1.866618443958747591e-86
9.374000000000039563e+02,1.910582134909174597e-86
9.375000000000039790e+02,1.955571546732893165e-86
9.376000000000040018e+02,2.001610382451508685e-86
9.377000000000040245e+02,2.048722887535615987e-86
9.378000000000040473e+02,2.096933862197433715e-86
9.379000000000040700e+02,2.146268673958330022e-86
9.380000000000040927e+02,2.196753270499423375e-86
9.381000000000041155e+02,2.248414171458583870e-86
9.382000000000041382e+02,2.301278544877873670e-86
9.383000000000041609e+02,2.355374158895477455e-86
9.384000000000041837e+02,2.410729416154105189e-86
9.385000000000042064e+02,2.467373368157101996e-86
9.386000000000042292e+02,2.525335729947131214e-86
9.387000000000042519e+02,2.584646895112016162e-86
9.388000000000042746e+02,2.645337951127309566e-86
9.389000000000042974e+02,2.707440695042212826e-86
9.390000000000043201e+02,2.770987649516863171e-86
9.391000000000043428e+02,2.836012031980206573e-86
9.392000000000043656e+02,2.902547910881745809e-86
9.393000000000043883e+02,2.970630085486745106e-86
9.394000000000044110e+02,3.040294148485962290e-86
9.395000000000044338e+02,3.111576503907807810e-86
9.396000000000044565e+02,3.184514385431466964e-86
9.397000000000044793e+02,3.259145875108203264e-86
9.398000000000045020e+02,3.335509922502575381e-86
9.399000000000045247e+02,3.413646364259539047e-86
9.400000000000045475e+02,3.493595944109270971e-86
9.401000000000045702e+02,3.575400295086501591e-86
9.402000000000045929e+02,3.659102073338393061e-86
9.403000000000046157e+02,3.744744868333087126e-86
9.404000000000046384e+02,3.832373261207262652e-86
9.405000000000046612e+02,3.922032847104476893e-86
9.406000000000046839e+02,4.013770258013485872e-86
9.407000000000047066e+02,4.107633186112688159e-86
9.408000000000047294e+02,4.203670407637961139e-86
9.409000000000047521e+02,4.301931807280408390e-86
9.410000000000047748e+02,4.402468403128644818e-86
9.411000000000047976e+02,4.505332372167082303e-86
9.412000000000048203e+02,4.610577076341087793e-86
9.413000000000048431e+02,4.718257089201876748e-86
9.414000000000048658e+02,4.828428223148558208e-86
9.415000000000048885e+02,4.941147557271386223e-86
9.416000000000049113e+02,5.056473465817842258e-86
9.417000000000049340e+02,5.174465647290648186e-86
9.418000000000049567e+02,5.295185154193678104e-86
9.419000000000049795e+02,5.418694423439174086e-86
9.420000000000050022e+02,5.545057307431029684e-86
9.421000000000050250e+02,5.674339105837820609e-86
9.422000000000050477e+02,5.806606598074679038e-86
9.423000000000050704e+02,5.941928076504296296e-86
9.424000000000050932e+02,6.080373380376404702e-86
9.425000000000051159e+02,6.222013930520410225e-86
9.426000000000051386e+02,6.366922764809103021e-86
9.427000000000051614e+02,6.515174574410582065e-86
9.428000000000051841e+02,6.666845740841489675e-86
9.429000000000052069e+02,6.822014373844342089e-86
9.430000000000052296e+02,6.980760350107815374e-86
9.431000000000052523e+02,7.143165352840499323e-86
9.432000000000052751e+02,7.309312912225594584e-86
9.433000000000052978e+02,7.479288446772249113e-86
9.434000000000053205e+02,7.653179305582534679e-86
9.435000000000053433e+02,7.831074811554192869e-86
9.436000000000053660e+02,8.013066305544317724e-86
9.437000000000053888e+02,8.199247191505776387e-86
9.438000000000054115e+02,8.389712982627459833e-86
9.439000000000054342e+02,8.584561348495212785e-86
9.440000000000054570e+02,8.783892163293816536e-86
9.441000000000054797e+02,8.987807555081178252e-86
9.442000000000055024e+02,9.196411956146510928e-86
9.443000000000055252e+02,9.409812154486655059e-86
9.444000000000055479e+02,9.628117346420389987e-86
