# wavelength (nm),inst_bkg (ph/s) 
9.621000000000095724e+02,2.188026115069469544e-15
9.622000000000095952e+02,2.203805549437084855e-15
9.623000000000096179e+02,2.219691512430327122e-15
9.624000000000096406e+02,2.235684681570983774e-15
9.625000000000096634e+02,2.251785738387968884e-15
9.626000000000096861e+02,2.267995368625294915e-15
9.627000000000097089e+02,2.284314262085688141e-15
9.628000000000097316e+02,2.300743112712997001e-15
9.629000000000097543e+02,2.317282618615721852e-15
9.630000000000097771e+02,2.333933482157361230e-15
9.631000000000097998e+02,2.340864230727125406e-15
9.632000000000098225e+02,2.347794632550527516e-15
9.633000000000098453e+02,2.354724462543253752e-15
9.634000000000098680e+02,2.361653493232693407e-15
9.635000000000098908e+02,2.368581494739626647e-15
9.636000000000099135e+02,2.375508234759905196e-15
9.637000000000099362e+02,2.382433478545885304e-15
9.638000000000099590e+02,2.389356988887893071e-15
9.639000000000099817e+02,2.396278526095343848e-15
9.640000000000100044e+02,2.403197847977025447e-15
9.641000000000100272e+02,2.400060948906834838e-15
9.642000000000100499e+02,2.396805942536808577e-15
9.643000000000100727e+02,2.393431622263556719e-15
9.644000000000100954e+02,2.389936772242942701e-15
9.645000000000101181e+02,2.386320167193889291e-15
9.646000000000101409e+02,2.382580572338143935e-15
9.647000000000101636e+02,2.378716743455609457e-15
9.648000000000101863e+02,2.374727426617677521e-15
9.649000000000102091e+02,2.370611358143275670e-15
9.650000000000102318e+02,2.366367264712488138e-15
9.651000000000102546e+02,2.352839277294121030e-15
9.652000000000102773e+02,2.339075885209101870e-15
9.653000000000103000e+02,2.325074919000359044e-15
9.654000000000103228e+02,2.310834193099082425e-15
9.655000000000103455e+02,2.296351505719282246e-15
9.656000000000103682e+02,2.281624638756265074e-15
9.657000000000103910e+02,2.266651357733718201e-15
9.658000000000104137e+02,2.251429411507854067e-15
9.659000000000104365e+02,2.235956532359312557e-15
9.660000000000104592e+02,2.220230435842738635e-15
9.661000000000104819e+02,2.197162545769396478e-15
9.662000000000105047e+02,2.173755932004534597e-15
9.663000000000105274e+02,2.150007592386777203e-15
9.664000000000105501e+02,2.125914502868786798e-15
9.665000000000105729e+02,2.101473617160925048e-15
9.666000000000105956e+02,2.076681867198181139e-15
9.667000000000106184e+02,2.051536162470495915e-15
9.668000000000106411e+02,2.026033389965303225e-15
9.669000000000106638e+02,2.000170414069160937e-15
